"union find, microset", "query_one", 2097152, 5.0203125000e-03
"successor, 2-pass, microset", "query_one", 2097152, 5.0656250000e-03
"successor, 2-pass", "query_one", 4194304, 1.4137500000e-02
"successor, 2-pass, checked", "query_one", 4194304, 1.5150000000e-02
"successor, halving", "query_one", 4194304, 2.1506250000e-02
"quick find", "query_one", 4194304, 1.3075000000e-02
"union find", "query_one", 4194304, 1.4200000000e-02
"quick find, microset", "query_one", 4194304, 8.9937500000e-03
"union find, microset", "query_one", 4194304, 1.0293750000e-02
"successor, 2-pass, microset", "query_one", 4194304, 1.0037500000e-02
"successor, recursive", "worst_case 0.125", 2, 3.1679868698e-09
"successor, 2-pass", "worst_case 0.125", 2, 3.3110380173e-09
"successor, 2-pass, checked", "worst_case 0.125", 2, 3.6299228668e-09
"successor, halving", "worst_case 0.125", 2, 3.0964612961e-09
"quick find", "worst_case 0.125", 2, 4.1946768761e-09
"union find", "worst_case 0.125", 2, 4.7579407692e-09
"quick find, microset", "worst_case 0.125", 2, 4.2453408241e-09
"union find, microset", "worst_case 0.125", 2, 4.1902065277e-09
"successor, 2-pass, microset", "worst_case 0.125", 2, 4.1306018829e-09
"successor, recursive", "worst_case 0.250", 2, 3.3453106880e-09
"successor, 2-pass", "worst_case 0.250", 2, 3.5330653191e-09
"successor, 2-pass, checked", "worst_case 0.250", 2, 3.6790966988e-09
"successor, halving", "worst_case 0.250", 2, 3.1217932701e-09
"quick find", "worst_case 0.250", 2, 3.9786100388e-09
"union find", "worst_case 0.250", 2, 4.9829483032e-09
"quick find, microset", "worst_case 0.250", 2, 4.3809413910e-09
"union find, microset", "worst_case 0.250", 2, 4.3153762817e-09
"successor, 2-pass, microset", "worst_case 0.250", 2, 4.2259693146e-09
"successor, recursive", "worst_case 0.500", 2, 3.3900141716e-09
"successor, 2-pass", "worst_case 0.500", 2, 3.5330653191e-09
"successor, 2-pass, checked", "worst_case 0.500", 2, 3.6925077438e-09
"successor, halving", "worst_case 0.500", 2, 3.2871961594e-09
"quick find", "worst_case 0.500", 2, 4.1380524635e-09
"union find", "worst_case 0.500", 2, 4.9129128456e-09
"quick find, microset", "worst_case 0.500", 2, 4.3988227844e-09
"union find, microset", "worst_case 0.500", 2, 4.3809413910e-09
"successor, 2-pass, microset", "worst_case 0.500", 2, 4.2349100113e-09
"successor, recursive", "worst_case 1.000", 2, 4.7922134399e-09
"successor, 2-pass", "worst_case 1.000", 2, 4.8458576202e-09
"successor, 2-pass, checked", "worst_case 1.000", 2, 5.1453709602e-09
"successor, halving", "worst_case 1.000", 2, 3.8027763367e-09
"quick find", "worst_case 1.000", 2, 4.7236680984e-09
"union find", "worst_case 1.000", 2, 5.8934092522e-09
"quick find, microset", "worst_case 1.000", 2, 5.0038099289e-09
